elevation,swardht,willows,birch,juncus,sand,ditches,watertab,disthay,sedpools,poolcov,godoccur,goddens
70,4,2,13,10,0,0,100,400,0,0,1,1
70,4,2,30,0,0,3,170,500,0,0,1,.666666667
70,4,20,10,0,0,3,190,100,0,0,0,0
80,2,20,40,0,0,1,160,800,0,0,0,0
80,3,50,80,0,0,2,180,400,0,0,0,0
80,3,1,0,0,0,4,160,100,0,0,0,0
80,1,1,0,0,0,3,180,150,0,0,0,0
80,2,0,5,0,0,3,200,50,0,0,0,0
90,1,20,10,0,0,2,200,100,0,0,0,0
100,4,0,0,0,0,1,180,300,0,0,0,0
100,4,20,30,0,0,1,190,400,0,40,0,0
100,3,10,50,0,0,1,160,100,0,0,0,0
100,3,0,0,0,0,1,180,500,0,0,0,0
100,3,5,0,0,0,2,200,200,0,0,0,0
110,3,5,0,0,0,2,120,200,0,0,0,0
110,2,5,1,5,0,0,80,150,0,0,1,.333333333
120,4,1,0,20,0,2,50,100,1,1,1,1.5
71,3,1,0,25,0,0,50,300,1,1,1,.666666667
99,1,0,0,0,0,1,220,200,0,0,0,0
101,1,0,0,0,0,2,210,500,0,0,0,0
83,4,0,30,30,0,2,50,700,0,0,0,0
76,1,1,0,0,0,2,190,300,0,0,0,0
75,4,0,20,30,0,1,60,700,0,0,0,0
42,4,30,0,0,0,2,150,200,0,0,0,0
99,3,1,1,0,0,2,150,200,0,0,0,0
77,4,0,10,0,0,2,200,700,0,0,0,0
96,4,0,10,0,0,0,125,200,2,5,1,1
65,4,0,50,0,1,2,160,600,0,0,1,.166666667
78,3,0,0,0,0,4,150,400,0,0,0,0
97,3,0,0,0,1,4,180,600,1,1,1,.5
96,4,0,0,0,5,2,200,300,1,1,1,.4
74,1,0,0,0,0,2,150,300,0,0,0,0
67,4,0,0,0,0,1,160,300,0,0,0,0
93,4,5,80,0,0,1,150,400,1,5,1,.333333333
98,4,0,5,0,0,1,150,100,0,0,0,0
106,4,0,1,0,0,2,150,200,0,0,0,0
73,4,2,65,0,0,1,130,1500,0,0,0,0
33,3,0,0,0,0,1,170,300,0,0,0,0
42,4,20,0,0,0,1,220,200,0,0,0,0
63,1,0,0,0,0,1,100,1500,0,0,0,0
66,3,25,0,5,0,0,90,50,3,10,1,.33
70,3,0,0,25,0,1,60,50,1,5,1,3
49,2,0,0,0,0,2,130,50,0,0,0,0
60,4,0,0,0,0,0,100,150,0,0,0,0
71,3,0,0,30,0,0,40,300,0,0,0,0
34,1,0,0,1,1,1,100,50,0,0,0,0
26,1,0,0,0,0,3,150,25,0,0,0,0
25,3,0,0,0,0,3,180,80,0,0,0,0
30,1,0,0,0,0,2,180,0,0,0,0,0
23,2,0,0,0,0,1,180,30,0,0,0,0
67,4,1,30,40,0,0,30,0,0,0,1,2.5
67,3,0,0,0,0,2,100,25,0,0,0,0
65,1,0,0,0,0,0,180,20,0,0,0,0
70,2,0,0,0,0,2,150,100,0,0,0,0
77,3,1,0,0,0,1,150,0,0,0,0,0
52,3,0,0,0,0,1,100,0,0,0,1,1.33
38,4,0,0,0,0,1,220,50,0,0,0,0
69,3,0,0,0,0,4,170,1000,0,0,0,0
37,2,0,0,60,0,1,50,1000,0,0,0,0
46,1,0,0,40,0,1,70,300,0,0,0,0
44,2,0,0,0,0,1,200,50,0,0,0,0
53,2,0,0,0,0,1,200,300,0,0,0,0
61,3,0,0,0,0,2,200,100,0,0,0,0
54,2,0,0,0,0,2,130,1000,0,0,0,0
56,2,0,0,0,0,2,150,400,0,0,1,1
68,1,5,20,0,0,2,140,500,0,0,0,0
65,4,1,0,0,0,1,200,1000,0,0,0,0
42,1,0,0,0,0,1,190,1000,0,0,0,0
24,3,1,0,0,0,0,120,0,1,5,1,.33
27,1,0,0,0,0,2,170,20,0,0,0,0
20,1,0,0,0,0,3,100,1000,0,0,0,0
20,1,0,0,0,0,0,150,0,0,0,0,0
22,1,0,0,25,0,1,70,1000,0,0,0,0
37,1,0,0,0,0,0,100,0,0,0,1,2
38,2,0,0,35,0,0,70,0,2,10,1,4
35,2,0,0,0,0,2,150,1000,0,0,0,0
33,2,1,0,0,0,2,100,1000,0,0,0,0
