Variable,Original Variable,Data Type,Number of Entries,Missing Values,Description,Example Values,Mean,Min,Max,Std Dev,25%,50%,75%
customer_type,customer_type,object,5521,0 (0.0%),Classification of the customer or customer segmentation category,"Rural & Low-income, Middle-Class Families, Young & Low-income, Seniors & Retired, Wealthy & Affluent",Rural & Low-income,Middle-Class Families,Young & Low-income,Na,Na,Na,Na
total_properties_owned,number_of_houses,int64,5521,0 (0.0%),Total number of properties owned by the household,"1, 2, 3, 10, 5",1.111,1,10,0.41,1,1,1
avg_household_size,avg_household_size,int64,5521,0 (0.0%),Number of people living in the household,"3, 2, 4, 1, 5",2.681,1,5,0.79,2,3,3
avg_age,avg_age,object,5521,14 (0.25%),Age bracket of the household's primary members,"30-40 years, 40-50 years, 20-30 years, 50-60 years, 60-70 years",40-50 years,20-30 years,70-80 years,Na,Na,Na,Na
household_classification,household_profile,object,5521,0 (0.0%),Lifestyle classification of the household,"Family with Grown-Ups, Average Family, Farmers, Living Well, Conservative Families",Family with Grown-Ups,Average Family,Successful Hedonists,Na,Na,Na,Na
married,married,int64,5521,0 (0.0%),Number/proportion of married people in the segment (out of 10),"7, 6, 3, 5, 0",6.188,0,9,1.903,5,6,7
living_togethers,living_together,int64,5521,0 (0.0%),Represents living togethers,"0, 2, 1, 6, 4",0.883,0,7,0.967,0,1,1
extended_family_members,other_relation,int64,5521,0 (0.0%),Number/proportion of people in other family relationships (out of 10),"2, 4, 3, 0, 1",2.286,0,9,1.714,1,2,3
singles,singles,int64,5521,0 (0.0%),Number/proportion of single people (out of 10),"1, 0, 4, 2, 3",1.88,0,9,1.795,0,2,3
childless_households,household_without_children,int64,5521,0 (0.0%),Number/proportion of households without children (out of 10),"2, 4, 3, 5, 6",3.235,0,9,1.62,2,3,4
households_with_children,household_with_children,int64,5521,0 (0.0%),Number/proportion of households with children (out of 10),"6, 5, 2, 4, 3",4.303,0,9,2.007,3,4,6
highly_educated,high_education_level,int64,5521,0 (0.0%),Number/proportion with high education (out of 10),"1, 0, 3, 5, 4",1.46,0,9,1.615,0,1,2
moderately_educated,medium_education_level,int64,5521,0 (0.0%),Number/proportion with medium education (out of 10),"2, 5, 4, 3, 1",3.356,0,9,1.764,2,3,4
low_education,low_education_level,int64,5521,0 (0.0%),Number/proportion with low education (out of 10),"7, 4, 2, 0, 5",4.57,0,9,2.298,3,5,6
high_status_professionals,high_status,int64,5521,0 (0.0%),Number/proportion in high-status professions (out of 10),"1, 0, 4, 2, 3",1.891,0,9,1.794,0,2,3
entrepreneurs,entrepreneur,int64,5521,0 (0.0%),Number/proportion who are entrepreneurs (out of 10),"0, 5, 1, 2, 3",0.397,0,5,0.774,0,0,1
farmer,farmer,int64,5521,0 (0.0%),Number/proportion who are farmers (out of 10),"1, 0, 4, 3, 2",0.522,0,9,1.057,0,0,1
middle_management,middle_management,int64,5521,0 (0.0%),Number/proportion in middle management roles (out of 10),"2, 5, 7, 3, 0",2.907,0,9,1.843,2,3,4
skilled_workers,skilled_labourers,int64,5521,0 (0.0%),Number/proportion of skilled workers (out of 10),"5, 0, 1, 2, 8",2.22,0,9,1.729,1,2,3
unskilled_workers,unskilled_labourers,int64,5521,0 (0.0%),Number/proportion of unskilled workers (out of 10),"2, 4, 0, 5, 1",2.306,0,9,1.694,1,2,3
social_class_a,social_class_a,int64,5521,0 (0.0%),Number/proportion in social class A (highest) (out of 10),"1, 0, 3, 9, 2",1.619,0,9,1.721,0,1,2
social_class_b1,social_class_b1,int64,5521,0 (0.0%),Number/proportion in social class B1 (out of 10),"1, 2, 5, 0, 3",1.611,0,9,1.329,1,2,2
social_class_b2,social_class_b2,int64,5521,0 (0.0%),Number/proportion in social class B2 (out of 10),"2, 3, 0, 1, 4",2.205,0,9,1.534,1,2,3
social_class_c,social_class_c,int64,5521,0 (0.0%),Number/proportion in social class C (out of 10),"6, 5, 4, 0, 8",3.756,0,9,1.935,2,4,5
social_class_d,social_class_d,int64,5521,0 (0.0%),Number/proportion in social class D (lowest) (out of 10),"1, 0, 2, 5, 3",1.066,0,9,1.3,0,1,2
rented_house,rented_house,int64,5521,0 (0.0%),Number/proportion living in rented housing (out of 10),"1, 2, 7, 5, 4",4.244,0,9,3.087,2,4,7
home_owner,home_owner,int64,5521,0 (0.0%),Number/proportion who own their home (out of 10),"8, 7, 2, 4, 5",4.764,0,9,3.088,2,5,7
single_car,owns_one_car,int64,5521,0 (0.0%),Number/proportion owning one car (out of 10),"8, 7, 9, 6, 5",6.037,0,9,1.551,5,6,7
dual_car,owns_two_cars,int64,5521,0 (0.0%),Number/proportion owning two cars (out of 10),"0, 1, 2, 3, 4",1.32,0,7,1.205,0,1,2
no_car,owns_no_car,int64,5521,0 (0.0%),Number/proportion owning no car (out of 10),"1, 2, 0, 3, 4",1.96,0,9,1.596,1,2,3
national_health_insurance,national_health_insurance,int64,5521,0 (0.0%),Number/proportion with national health insurance (out of 10),"8, 6, 9, 7, 5",6.276,0,9,1.976,5,7,8
private_health_insurance,private_health_insurance,int64,5521,0 (0.0%),Number/proportion with private health insurance (out of 10),"1, 3, 0, 2, 4",2.73,0,9,1.979,1,2,4
